listing_id,market,country,archetype,property_type,bedrooms,capacity,base_price,is_superhost,review_score,num_reviews,instant_book,wifi,air_conditioning,pool,parking,kitchen,lat,lon,host_since
6309946,Ward 77,ZA,entire_home,Entire home,2,4,2300.0,True,4.83,23,False,True,True,True,True,True,-33.91678,18.41618,2015-05-07
6310512,Ward 115,ZA,entire_home,Entire home,2,4,2500.0,True,4.93,14,False,True,False,True,False,True,-33.91453,18.41693,2015-05-07
6311413,Ward 115,ZA,entire_home,Entire home,2,4,3358.0,True,4.89,28,False,True,True,False,True,True,-33.91426,18.41479,2015-05-07
6351494,Ward 71,ZA,entire_home,Entire condo,1,2,1343.0,False,4.97,31,False,True,True,True,False,True,-34.06027,18.43679,2015-05-11
6380146,Ward 77,ZA,entire_home,Entire rental unit,1,2,6000.0,False,4.78,36,False,True,True,True,True,True,-33.93872,18.40098,2015-05-13
6408551,Ward 54,ZA,entire_home,Entire rental unit,3,6,6732.0,True,4.91,35,False,True,True,True,True,True,-33.96458,18.38303,2015-05-15
6442326,Ward 74,ZA,entire_home,Entire villa,3,6,10271.0,False,5.0,25,False,True,False,True,True,True,-34.00803,18.3436,2015-05-18
6499027,Ward 74,ZA,entire_home,Entire villa,4,8,4500.0,False,4.95,21,False,True,False,True,True,True,-34.00913,18.34307,2015-05-22
6540086,Ward 54,ZA,entire_home,Entire rental unit,1,2,2514.0,True,4.88,104,True,True,True,True,True,True,-33.95366,18.37614,2015-05-25
6614873,Ward 54,ZA,entire_home,Entire home,4,6,1502.0,False,5.0,1,False,True,True,True,True,True,-33.92527,18.37861,2015-02-03
6651837,Ward 4,ZA,entire_home,Entire serviced apartment,1,3,875.0,False,4.87,54,True,True,False,True,True,True,-33.85363,18.49401,2012-08-21
6657669,Ward 4,ZA,entire_home,Entire serviced apartment,1,2,588.0,False,4.84,68,True,True,False,True,True,True,-33.85342,18.49401,2012-08-21
6670683,Ward 54,ZA,entire_home,Entire rental unit,3,6,3800.0,False,4.67,6,False,True,False,True,True,True,-33.91406,18.38846,2015-06-03
6682019,Ward 54,ZA,entire_home,Entire loft,1,2,1940.0,True,4.78,67,False,True,False,False,True,True,-33.94898,18.37887,2015-05-07
6695329,Ward 55,ZA,entire_home,Entire rental unit,1,2,1403.0,False,4.18,17,True,True,False,False,False,True,-33.892162,18.484098,2012-10-24
6711928,Ward 59,ZA,entire_home,Entire guest suite,1,2,800.0,False,4.93,706,False,True,False,True,False,True,-33.99555,18.46967,2015-06-06
6743446,Ward 67,ZA,entire_home,Entire home,4,8,13727.0,False,4.89,0,False,True,False,True,True,True,-34.04961,18.5153,2015-06-08
6884343,Ward 64,ZA,entire_home,Entire rental unit,3,6,2250.0,False,4.0,1,False,False,False,False,True,True,-34.11753,18.45739,2013-04-03
6905663,Ward 83,ZA,entire_home,Entire home,1,3,810.0,False,5.0,10,False,True,False,False,True,True,-34.11054992675781,18.824390411376953,2015-06-19
6960517,Ward 61,ZA,entire_home,Entire home,4,10,6721.0,False,4.9,87,False,True,False,False,True,True,-34.13715,18.32587,2015-04-25
6978573,Ward 55,ZA,private_room,Other,1,2,460.0,True,4.78,163,True,True,False,True,True,False,-33.88542,18.48697,2015-06-24
6983299,Ward 54,ZA,entire_home,Entire villa,5,10,18000.0,False,4.86,7,False,True,True,True,True,True,-33.92616,18.38905,2015-06-24
7060478,Ward 23,ZA,entire_home,Entire home,4,8,5111.0,True,4.86,22,False,True,False,True,True,True,-33.72176,18.44482,2015-06-29
